c1cnc2c(-c3cn[nH]c3)cnn2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1cn[nH]c1']; [0.999980807]
c1ccc2c(-c3cnn4cccnc34)c[nH]c2c1; [None]; [None]; [0]
c1c[nH]c(-c2cnn3cccnc23)c1; [None]; [None]; [0]
c1cnc2c(-c3ccc4c(c3)CCO4)cnn2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1ccc2c(c1)CCO2']; [0.999999881]
c1cnc2c(Cn3ccnc3)cnn2c1; [None]; [None]; [0]
c1ccc2cc(-c3cnn4cccnc34)ncc2c1; [None]; [None]; [0]
CC(=O)Nc1cccc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12', 'Brc1cnn2cccnc12']; ['CC(=O)Nc1cccc(B2OC(C)(C)C(C)(C)O2)c1', 'CC(=O)Nc1cccc(B(O)O)c1']; [0.999999762, 0.999999762]
COc1cc(-c2cnn3cccnc23)ccc1O; ['Brc1cnn2cccnc12']; ['COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O']; [0.999999285]
c1cc2c(c(-c3cnn4cccnc34)c1)OCO2; [None]; [None]; [0]
c1cnc2c(-c3scc4c3OCCO4)cnn2c1; [None]; [None]; [0]
Fc1ccc(-c2cnn3cccnc23)cc1F; ['Brc1cnn2cccnc12']; ['OB(O)c1ccc(F)c(F)c1']; [0.999999881]
CC(C)(C)c1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['CC(C)(C)c1ccc(B(O)O)cc1']; [0.999998569]
c1ccc2ncc(-c3cnn4cccnc34)cc2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1cnc2ccccc2c1']; [0.999989033]
COCCOc1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['COCCO']; [0.999492049]
CC1(COc2cnn3cccnc23)COC1; [None]; [None]; [0]
c1coc(-c2cnn3cccnc23)c1; [None]; [None]; [0]
Cc1cc(-c2cnn3cccnc23)nc(N)n1; [None]; [None]; [0]
CSc1cccc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12', 'Brc1cnn2cccnc12']; ['CSc1cccc(B2OC(C)(C)C(C)(C)O2)c1', 'CSc1cccc(B(O)O)c1']; [0.999999762, 0.999999762]
O[C@@H]1CC[C@@H](c2cnn3cccnc23)CC1; [None]; [None]; [0]
OC[C@H](Cc1ccccc1)c1cnn2cccnc12; [None]; [None]; [0]
Fc1ccc(-c2cnn3cccnc23)c(Cl)c1; [None]; [None]; [0]
O[C@@H]1CC[C@H](c2cnn3cccnc23)C1; [None]; [None]; [0]
Brc1cnc(-c2cnn3cccnc23)nc1; ['Brc1cncnc1']; ['Brc1cnn2cccnc12']; [0.812735081]
COc1ccc(-c2cnn3cccnc23)cc1OC; ['Brc1cnn2cccnc12']; ['COc1ccc(B(O)O)cc1OC']; [0.99999547]
CCc1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['CCc1ccc(B(O)O)cc1']; [0.99997282]
COc1ccc(CNc2cnn3cccnc23)cc1; [None]; [None]; [0]
Clc1ccc(-c2cnn3cccnc23)c(Cl)c1; ['Brc1cnn2cccnc12']; ['OB(O)c1ccc(Cl)cc1Cl']; [0.999994397]
c1cnc2c(-c3ccsc3)cnn2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1ccsc1']; [0.999991179]
Cn1cc(-c2cnn3cccnc23)c(C(F)(F)F)n1; [None]; [None]; [0]
Cc1cc(C)cc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12']; ['Cc1cc(C)cc(B(O)O)c1']; [0.999995947]
COc1ccc2cccc(-c3cnn4cccnc34)c2c1; [None]; [None]; [0]
Oc1ccc2cccc(-c3cnn4cccnc34)c2c1; [None]; [None]; [0]
COc1cc(F)c(-c2cnn3cccnc23)cc1OC; [None]; [None]; [0]
COc1cc(-c2cnn3cccnc23)ccc1Cl; ['Brc1cnn2cccnc12']; ['COc1cc(B(O)O)ccc1Cl']; [0.999999166]
Cc1nc(Nc2cnn3cccnc23)sc1C; [None]; [None]; [0]
Cc1cc(Nc2cnn3cccnc23)nn1C; ['Brc1cnn2cccnc12']; ['Cc1cc(N)nn1C']; [0.999830723]
Cc1ccc(-c2cnn3cccnc23)o1; [None]; [None]; [0]
COc1cc(-c2cnn3cccnc23)c(OC)cc1Br; [None]; [None]; [0]
COc1cc(OC)cc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12']; ['COc1cc(OC)cc(B(O)O)c1']; [0.999998093]
c1cnc2c(-c3ccc4cn[nH]c4c3)cnn2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1ccc2cn[nH]c2c1']; [0.999998689]
CC(C)Oc1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['CC(C)O']; [0.999845266]
CCn1cc(-c2cnn3cccnc23)cn1; ['Brc1cnn2cccnc12']; ['CCn1cc(B2OC(C)(C)C(C)(C)O2)cn1']; [0.999999762]
c1ccc2oc(-c3cnn4cccnc34)cc2c1; [None]; [None]; [0]
CNC(=O)c1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['CNC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1']; [1.0]
COC(=O)Nc1cnn2cccnc12; [None]; [None]; [0]
FC(F)(F)Oc1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12', 'Brc1cnn2cccnc12']; ['OB(O)c1ccc(OC(F)(F)F)cc1', 'CC1(C)OB(c2ccc(OC(F)(F)F)cc2)OC1(C)C']; [1.0, 1.0]
c1cnc2c(-c3cscn3)cnn2c1; [None]; [None]; [0]
CCc1cccc(-c2cnn3cccnc23)n1; [None]; [None]; [0]
Cc1ccc(-c2cnn3cccnc23)nc1C; [None]; [None]; [0]
O=C1CCCN1c1cccc(-c2cnn3cccnc23)c1; [None]; [None]; [0]
OCCc1ccc(-c2cnn3cccnc23)cc1; [None]; [None]; [0]
