smiles,subpocket,bool_pains,bool_brenk,bool_ro3,bool_qed,qed,bool_bb,bool_syba,syba,retro_count,bool_retro
Nc1nccc2cc3c(O)ccnc3n12,AP,1,1,0,1,0.5707231306731465,0,1,0.7348499346676491,,
Nc1ncnc2ccnn12,AP,1,1,0,1,0.5383637047155415,0,1,23.87191451780354,,
Cc1ncn2nc(N)ncc12,AP,1,1,0,1,0.5726845816021439,0,1,16.610305529716232,,
c1ccc2[nH]c(-c3n[nH]c4ccccc34)nc2c1,AP,1,1,0,1,0.5313446542836318,0,1,48.49108093279667,,
CC(=O)Nc1c[nH]cn1,AP,1,1,1,1,0.5692234054682064,0,1,24.824742983479233,,
Nc1c[nH]cn1,AP,1,1,1,0,0.4632257080621317,1,1,13.05738056664325,,
Nc1n[nH]c2c(F)c(F)ccc12,AP,1,1,1,1,0.6262010296884438,0,1,16.044325412155022,,
Nc1n[nH]c2cc(Cl)ccc12,AP,1,1,1,1,0.6288112834438336,0,1,35.249514698434304,,
Nc1ncnc2cn[nH]c12,AP,1,1,0,1,0.5296759293780585,0,1,21.32006460092345,,
Nc1ncnc(-c2cc(Cl)ccc2O)n1,AP,1,1,0,1,0.7635070032978527,0,1,28.042246595519597,,
C=CCNc1nc(N)c(C=O)s1,AP,1,0,0,1,0.5421761045977664,0,1,20.02060358986929,,
c1n[nH]c2c1CCCC2,AP,1,1,1,1,0.5515098250854542,1,1,27.934285174690363,0.0,0.0
CNC(=O)c1n[nH]c2c1CCCC2,AP,1,1,1,1,0.6645892509417041,0,1,45.806808537769776,,
Nc1nc(N)c(C=O)s1,AP,1,0,0,1,0.5468594863905379,0,1,4.749548279583218,,
Nc1csc(N)n1,AP,1,1,0,1,0.5110070188475047,0,1,15.919540019485344,,
CNc1cc(Cl)c([N+](=O)[O-])cc1C(N)=O,AP,1,0,0,1,0.6043611455193832,0,1,41.158758507274,,
CNc1cc(Cl)c([N+2](#[O+])[O-])cc1C(N)=O,AP,1,0,0,1,0.5973219008934295,0,1,31.125253329815674,,
NC(=O)c1cc([N+](=O)[O-])ccc1N,AP,1,0,0,0,0.3870934615773343,0,1,44.56995534189343,,
CNc1cc(OC)c([N+2](#[O+])[O-])cc1C(N)=O,AP,1,0,0,1,0.5941081872645152,0,1,35.75053490737289,,
NC(=O)c1cc([N+2](#[O+])[O-])ccc1N,AP,1,0,0,0,0.3776210148912589,0,1,25.489773587476872,,
NC(=O)c1ccccc1N,AP,1,0,0,1,0.5473422654963029,1,1,32.14342487361283,,
NNC(=O)c1n[nH]c2c1CCCC2,AP,1,0,0,0,0.32015241311750914,1,1,42.77754078066805,,
CNc1ccc([N+2](#[O+])[O-])cc1C(N)=O,AP,1,0,0,1,0.5468854093262764,0,1,30.51279420085596,,
NC(=O)c1sc(N)nc1N,AP,1,1,0,1,0.5069947057515675,0,1,23.35985620833857,,
Cc1cc(C)c(Cc2c(O)[nH]c3ccc(F)cc23)[nH]1,AP,1,1,0,1,0.6465732768749115,0,1,46.31727647778884,,
Cc1cnc2ccnn2c1N,AP,1,1,1,1,0.5954370615348293,1,1,32.22974974047434,0.0,0.0
Nc1nccnc1C=O,AP,1,0,0,1,0.5279733244447306,1,1,3.2892721006665613,,
N#Cc1cnc(N)nc1,AP,1,1,0,1,0.5195864281171498,1,1,20.3545838651496,,
Nc1nc(O)c2[nH]cnc2n1,AP,1,1,0,0,0.4769713284240622,1,1,19.210832773892893,,
Nc1ncc2[nH]cnc2n1,AP,1,1,0,1,0.5296759293780585,1,1,25.37036465624505,,
[O-]c1cccc2ccc(C3=NCCS3)nc12,AP,1,1,1,1,0.7488245973922308,0,1,7.133566887519312,,
Cc1cc(NC=O)n[nH]1,AP,1,0,1,1,0.5578008655083114,0,1,8.525501537269344,,
CC(=O)Nc1ccn[nH]1,AP,1,1,1,1,0.5692234054682064,0,1,25.081170393974105,,
Cc1ccc2ncccc2c1,AP,1,1,1,1,0.5519055037199659,1,1,56.86096125292906,0.0,0.0
CC(=O)Nc1cc[nH]n1,AP,1,1,1,1,0.5692234054682064,0,1,37.995168555075296,,
N=[S@@](=O)([O-])c1ccc(N/N=C2\C(=O)Nc3ccccc32)cc1,AP,0,0,0,1,0.7505613689635369,0,1,45.84616414291878,,
N=[S@@](=O)([O-])c1ccc(N/N=C2\C(=O)Nc3ccc(C=O)cc32)cc1,AP,0,0,0,1,0.5745401116450196,0,1,36.98881047573371,,
Nc1ncc(S)s1,AP,1,0,1,1,0.5170817506567151,1,1,0.3798179470374201,,
