Clc1ccccc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['OB(O)c1ccccc1Cl']; [0.999972463]
Oc1ccc(-c2cnn3cccnc23)c(Cl)c1; [None]; [None]; [0]
Nc1nccc(-c2cnn3cccnc23)n1; [None]; [None]; [0]
O[C@H]1C[C@@H](c2cnn3cccnc23)C1; [None]; [None]; [0]
c1cnc2c(-c3cnccn3)cnn2c1; ['Brc1cnn2cccnc12']; ['c1cnccn1']; [0.998145819]
c1cnc2c(-c3cc[nH]c3)cnn2c1; [None]; [None]; [0]
N#Cc1cnc(-c2cnn3cccnc23)cn1; [None]; [None]; [0]
c1cnc2c(-c3ccoc3)cnn2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1ccoc1']; [0.999993324]
COC(=O)c1ccc(-c2cnn3cccnc23)o1; [None]; [None]; [0]
COc1cc(CCc2cnn3cccnc23)ccc1O; [None]; [None]; [0]
Brc1cccc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12']; ['OB(O)c1cccc(Br)c1']; [0.999911547]
N#Cc1ccc(-c2cnn3cccnc23)cn1; ['Brc1cnn2cccnc12']; ['N#Cc1ccc(B(O)O)cn1']; [0.999999285]
Clc1cccc(OCc2cnn3cccnc23)c1; [None]; [None]; [0]
OCCCc1cnn2cccnc12; [None]; [None]; [0]
c1csc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12']; ['c1ccsc1']; [0.999876261]
Oc1ccc(-c2cnn3cccnc23)c(O)c1; [None]; [None]; [0]
COC(=O)c1ccc(Cl)c(-c2cnn3cccnc23)c1; [None]; [None]; [0]
c1cnc2c(-c3ccncn3)cnn2c1; [None]; [None]; [0]
Clc1ccccc1OCc1cnn2cccnc12; [None]; [None]; [0]
Fc1ccc(-c2cnn3cccnc23)cc1Cl; ['Brc1cnn2cccnc12']; ['OB(O)c1ccc(F)c(Cl)c1']; [0.999999881]
Cc1ccc(-c2cnn3cccnc23)cc1C; ['Brc1cnn2cccnc12']; ['Cc1ccc(B(O)O)cc1C']; [0.999999404]
Cc1ccc(O)cc1-c1cnn2cccnc12; [None]; [None]; [0]
OC[C@H](c1ccccc1)c1cnn2cccnc12; [None]; [None]; [0]
Oc1ncc(-c2cnn3cccnc23)cc1Cl; [None]; [None]; [0]
Cc1ccc(CO)cc1-c1cnn2cccnc12; [None]; [None]; [0]
Oc1ccc(Cl)c(-c2cnn3cccnc23)c1; [None]; [None]; [0]
NC(=O)Nc1ccc(-c2cnn3cccnc23)cc1; [None]; [None]; [0]
Cc1nc2ccc(-c3cnn4cccnc34)cc2[nH]1; [None]; [None]; [0]
O=c1ccccn1Cc1cnn2cccnc12; [None]; [None]; [0]
c1ccc2sc(-c3cnn4cccnc34)nc2c1; ['Nc1ccccc1S']; ['O=C(O)c1cnn2cccnc12']; [0.999980807]
CS(=O)(=O)c1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['CC1(C)OB(c2ccc(S(C)(=O)=O)cc2)OC1(C)C']; [1.0]
O=C1Cc2cc(-c3cnn4cccnc34)ccc2N1; ['Brc1cnn2cccnc12']; ['CC1(C)OB(c2ccc3c(c2)CC(=O)N3)OC1(C)C']; [0.999998569]
Oc1cncc(-c2cnn3cccnc23)c1; [None]; [None]; [0]
NC(=O)[C@H]1CC[C@@H](c2cnn3cccnc23)CC1; [None]; [None]; [0]
Cc1cc(O)ccc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['Cc1cc(O)ccc1B(O)O']; [0.999960423]
CCc1cc(O)ccc1-c1cnn2cccnc12; [None]; [None]; [0]
C[C@H](CC(N)=O)c1cnn2cccnc12; [None]; [None]; [0]
